EquipID,License#,Year,Make,Model,Description,Dept,InServiceDate,InServiceCost,Estimated Replacement Year
01035,31603D,2000,PLYMOUTH,NEON,SUBCOMPACT SEDAN TRAINING,SPD,04-Aug-00,$14190.13,2010
03144,32434D,2000,FORD,F450,PICKUP - DIVER BODY - CLASS 4 - 4X4,SPD,10-Aug-01,$69961.69,2016
03356,35084D,2000,CHEVROLET,WORK HORSE,WALKIN VAN - CLASS 4,DPR,26-Apr-02,$79980.26,2012
03872,35721D,2000,CHEVROLET,WORK HORSE,WALKIN VAN - CLASS 4,DPR,01-Jul-02,$79449.05,2012
04111,31718D,2000,CHEVROLET,ASTRO,CARGO MINIVAN,SCL,19-Dec-00,$24180.20,2010
04303,31655D,2000,GMC,SONOMA,COMPACT PICKUP,SCL,16-May-01,$18779.45,2010
04415,32442D,2000,CHEVROLET,WORK HORSE,WALKIN VAN - CLASS 3,SCL,14-May-01,$35153.00,2011
04613,31533D,2000,FREIGHTLINER,MT45,WALKIN VAN - CLASS 6,SPU,26-Apr-01,$44639.01,2011
05928,32682D,2000,BUTLER,TS-612DD,TRAILER - TILT DECK - 5500 LB GVWR,DPR,01-May-01,$3509.50,2016
06527,29894D,2000,KENWORTH,T800,TRUCK - 12 YD DUMP - CLASS 8,SPU,15-Jun-00,$137132.10,2010
06605,,2000,HYSTER,H80XM,FORKLIFT - 8000 LB LIFT - LPG,SPU,23-Aug-00,$35285.44,2010
06606,,2000,HYSTER,H80XM,FORKLIFT - 8000 LB LIFT - LPG,SPU,25-Aug-00,$35285.44,2010
06646,29895D,2000,KENWORTH,T800,TRUCK - 12 YD DUMP - CLASS 8,SPU,30-Apr-00,$169824.47,2010
07022,,2000,TENNANT,7200,FLOOR SCRUBBER - ELECTRIC,FAS,25-Jul-00,$18088.68,2020
07132,,2000,HYSTER,H80XM,FORKLIFT - 8000 LB LIFT - LPG,SDOT,17-Aug-00,$36513.19,2020
07136,,2000,HYSTER,H80XM,FORKLIFT - 8000 LB LIFT - LPG,SPU,25-Aug-00,$0.00,2010
07219,35793D,2000,INGERSOLL RAND,P185WJDU,AIR COMPRESSOR - TRAILER MOUNTED,SDOT,26-Jun-02,$24246.30,2017
07220,35689D,2000,INGERSOLL RAND,P185WJDU,AIR COMPRESSOR - TRAILER MOUNTED,SDOT,27-Jun-02,$23314.04,2017
07226,35690D,2000,INGERSOLL RAND,P185WJDU,AIR COMPRESSOR - TRAILER MOUNTED,SDOT,28-Jun-02,$11360.40,2017
08306,1770EX,2000,CUSHMAN,898,SCOOTER 3 WHEEL,FAS,20-Dec-00,$25626.57,2010
08316,1325EX,2000,CUSHMAN,488,SCOOTER 3 WHEEL,FAS,24-Oct-01,$29084.93,2011
10207,,2010,JOHN DEERE,318D,SOLID WASTE SKID STEER LOADER,SPU,11-May-10,$0.00,
11713,34221D,2001,TOYOTA,PRIUS,COMPACT SEDAN - HYBRID,FAS,17-Jul-01,$21528.48,2015
12090,34895D,2001,TOYOTA,PRIUS,COMPACT SEDAN - HYBRID,DPR,12-Feb-02,$21153.80,2012
12392,32446D,2001,CHEVROLET,CAVALIER,COMPACT SEDAN - DUAL FUEL,SCL,10-May-01,$18447.75,2011
12909,34140D,2001,GMC,SAFARI,PASSENGER MINIVAN,SPD,06-Feb-02,$23752.25,2012
13048,34937D,2001,FORD,F350,PICKUP - SERVICE BODY,FAS,06-Mar-02,$57330.31,2012
13156,56449D,2001,CHEVROLET,G3500,PASSENGER VAN,SPD,17-Oct-01,$23642.16,2011
13177,34127D,2001,GMC,SAFARI,PASSENGER MINIVAN,SPD,03-Jan-02,$23415.27,2012
13181,34185D,2001,CHEVROLET,EXPRESS,PASSENGER VAN,SPD,10-Apr-02,$28046.84,2012
13183,34267D,2001,GMC,G2500,PASSENGER VAN,SPD,01-May-02,$30555.70,2012
13197,34157D,2001,CHEVROLET,G3500,PASSENGER VAN,SPD,29-Jan-02,$29352.57,2012
14115,31816D,2001,CHEVROLET,G3500,CARGO VAN,SCL,01-Mar-01,$23563.50,2011
14191,31293D,2001,DODGE,RAM QUAD CAB,PICKUP,SCL,09-Oct-00,$25584.95,2011
14291,31874D,2001,DODGE,RAM QUAD CAB,PICKUP - SERVICE BODY,SCL,26-Mar-01,$35753.18,2011
14317,31296D,2001,DODGE,RAM QUAD CAB,PICKUP,SCL,16-Oct-00,$25584.95,2011
14334,32409D,2001,JEEP,GRAND CHEROKEE,COMPACT SUV - 4X4,SCL,27-Feb-01,$22058.65,2011
14336,32580D,2001,FORD,F250,PICKUP,SCL,01-May-01,$20631.00,2011
14339,32581D,2001,FORD,F250,PICKUP,SCL,05-Dec-01,$22968.16,2011
14403,31827D,2001,CHEVROLET,G3500,CARGO VAN,SCL,19-Dec-01,$30259.33,2011
14471,31829D,2001,FORD,WINDSTAR,PASSENGER MINIVAN,SCL,29-Dec-00,$0.00,2011
14524,31869D,2001,FORD,F450,PICKUP - HOOK LIFT - MULTIBODY - CLASS 4,SPU,04-Dec-00,$55738.01,2010
14561,33292D,2001,GMC,SONOMA,COMPACT PICKUP TRAINING,SPD,24-Aug-01,$19939.81,2009
14709,34278D,2001,FORD,F450,PICKUP - SIDE DUMP - CLASS 4,SPU,08-Aug-01,$62828.20,2010
15526,31805D,2001,PETERBILT,320,TRUCK - EDUCTOR - VACTOR,SPU,11-Oct-00,$596280.67,2008
15543,34123D,2001,HAULMARK,GB16B2,TRAILER,SFD,31-Jan-02,$9893.17,2017
15661,34455D,2001,ADDCO,DH-1000,TRAILER MOUNTED MESSAGE BOARD - SOLAR,SDOT,30-Oct-01,$33155.87,2021
