EquipID	Year	Make	Model	Description	Dept	SalePrice	SaleDate	AuctionHouse
33294	2003	CHEVROLET	ASTRO	MINIVAN K-9	SPD	4550.09	5/21/2013 0:00	BIDADOO ONLINE AUCTION
3015	2000	CHEVROLET	G3500	CARGO VAN - HVAC	FAS	6600	10/23/2014 0:00	MURPHYS AUCTION
34550	2003	CHEVROLET	S10	COMPACT PICKUP	SPU	3355	2/11/2014 0:00	BIDADOO ONLINE AUCTION
7019	1991	YALE	FORKLIFT	FORKLIFT	CEN	5101	8/20/2013 0:00	BIDADOO ONLINE AUCTION
80393	1993	BUTLER	TRAILER	TRAILER	SFD	2800	10/23/2014 0:00	MURPHYS AUCTION
21294	2002	DODGE	NEON	SUBCOMPACT SEDAN	DPR	3450	12/19/2013 0:00	BIDADOO ONLINE AUCTION
21257	2002	DODGE	NEON	SUBCOMPACT SEDAN	SFD	2900	9/24/2014 0:00	BIDADOO ONLINE AUCTION
11516	2001	PLYMOUTH	NEON	SEDAN SUBCOMPACT	SPU	4281.59	6/26/2013 0:00	BIDADOO ONLINE AUCTION
36589	2003	FORD NEW HOLLAND	TS110	TRACTOR - BRUSHCUTTER FLAIL - 4X4	SPU	18000	10/17/2014 0:00	MURPHYS AUCTION
31757	2011	FORD	CROWN VICTORIA	PATROL CAR	SPD	500	1/8/2015 0:00	MURPHYS AUCTION
99244	2009	FORD	CROWN VICTORIA	PATROL CAR	SPD	350	7/30/2014 0:00	BIDADOO ONLINE AUCTION
99236	2009	FORD	CROWN VICTORIA	PATROL CAR	SPD	2042.56	4/22/2015 0:00	BIDADOO ONLINE AUCTION
79926	2007	FORD	CROWN VICTORIA	PATROL CAR	SPD	2600	8/9/2013 0:00	MURPHYS AUCTION
89130	2008	FORD	CROWN VICTORIA	PATROL CAR	SPD	900	1/8/2015 0:00	MURPHYS AUCTION
89122	2008	FORD	CROWN VICTORIA	PATROL CAR	SPD	1650	3/31/2015 0:00	BIDADOO ONLINE AUCTION
69910	2006	FORD	CROWN VICTORIA	PATROL CAR TRAINING	SPD	2325	3/28/2014 0:00	BIDADOO ONLINE AUCTION
69907	2006	FORD	CROWN VICTORIA	PATROL CAR	SPD	1900	4/21/2014 0:00	MURPHYS AUCTION
39626	2003	FORD	CROWN VICTORIA	FULLSIZE SEDAN	SPD	2100	3/28/2014 0:00	BIDADOO ONLINE AUCTION
79976	2007	FORD	CROWN VICTORIA	PATROL CAR	SPD	2400	10/23/2014 0:00	MURPHYS AUCTION
79985	2007	FORD	CROWN VICTORIA	PATROL CAR	SPD	2205	7/2/2014 0:00	BIDADOO ONLINE AUCTION
89184	2008	FORD	CROWN VICTORIA	PATROL CAR	SPD	2275	2/17/2015 0:00	BIDADOO ONLINE AUCTION
80202	2000	FORD	E350	PASSENGER VAN	DPR	4152	1/28/2015 0:00	BIDADOO ONLINE AUCTION
34644	2003	FORD	F250	PICKUP	SPU	6100	1/7/2015 0:00	BIDADOO ONLINE AUCTION
